bugfix_commit,filename,bic
116545c589f75adff3b2f68ae2be0920f06a21e4,tests/integration-tests/src/test/java/org/apache/activemq/artemis/tests/integration/cluster/bridge/ClusteredBridgeReconnectTest.java,032210a7c692d26baa13a80f30a3cf62c5df594e
fa439375e9dc950e9047ea661ebf53a05e08e7c6,artemis-core-client/src/main/java/org/apache/activemq/artemis/core/client/impl/ServerLocatorImpl.java,206acdac7d5d2581c78337988949c0dca07cb30a
fa439375e9dc950e9047ea661ebf53a05e08e7c6,artemis-core-client/src/main/java/org/apache/activemq/artemis/core/protocol/core/impl/ActiveMQClientProtocolManagerFactory.java,bac96047f5752647fb0ebf01bacbcfb36f715e06
fa439375e9dc950e9047ea661ebf53a05e08e7c6,artemis-core-client/src/main/java/org/apache/activemq/artemis/core/protocol/core/impl/ActiveMQClientProtocolManagerFactory.java,206acdac7d5d2581c78337988949c0dca07cb30a
fa439375e9dc950e9047ea661ebf53a05e08e7c6,artemis-core-client/src/main/java/org/apache/activemq/artemis/core/protocol/core/impl/ActiveMQClientProtocolManagerFactory.java,177e6820b541e0a71b952eebf503a4d2235910c5
fa439375e9dc950e9047ea661ebf53a05e08e7c6,artemis-core-client/src/main/java/org/apache/activemq/artemis/spi/core/remoting/ClientProtocolManagerFactory.java,206acdac7d5d2581c78337988949c0dca07cb30a
fa439375e9dc950e9047ea661ebf53a05e08e7c6,artemis-protocols/artemis-hqclient-protocol/src/main/java/org/apache/activemq/artemis/core/protocol/hornetq/client/HornetQClientProtocolManagerFactory.java,206acdac7d5d2581c78337988949c0dca07cb30a
fa439375e9dc950e9047ea661ebf53a05e08e7c6,artemis-server/src/main/java/org/apache/activemq/artemis/core/server/cluster/ActiveMQServerSideProtocolManagerFactory.java,206acdac7d5d2581c78337988949c0dca07cb30a
515ac3a7cbf7bfd423b0d4d8128d2c893956b3c5,artemis-core-client/src/main/java/org/apache/activemq/artemis/core/protocol/core/impl/PacketImpl.java,2481a784f3ba7648f4b4322335bd3d4061aa4b01
515ac3a7cbf7bfd423b0d4d8128d2c893956b3c5,artemis-server/src/main/java/org/apache/activemq/artemis/core/protocol/core/impl/wireformat/ReplicationResponseMessageV2.java,2481a784f3ba7648f4b4322335bd3d4061aa4b01
a648805a594e7562c2e8e3c2cfa4b87158df8999,artemis-hawtio/activemq-branding/src/main/java/org/apache/activemq/hawtio/branding/PluginContextListener.java,cadf909f781e0b48bfa9a4b2dc25a6439a3be3e3
a648805a594e7562c2e8e3c2cfa4b87158df8999,artemis-hawtio/artemis-plugin/src/main/java/org/apache/activemq/hawtio/plugin/PluginContextListener.java,fa7b247dc460eb76b588befbe4ee3aa5a49a4f5d
4d429b115c21e37d5763daa124616c9b77a19408,artemis-server/src/main/java/org/apache/activemq/artemis/core/server/cluster/impl/ClusterConnectionImpl.java,c3448e7029e29a2aede31ea0a1abefaa38fe5b42
4d429b115c21e37d5763daa124616c9b77a19408,artemis-server/src/main/java/org/apache/activemq/artemis/core/server/cluster/impl/ClusterConnectionImpl.java,f8a1c5ba8efb1dd85a70e263839f3ff7151a2168
14457c430860da4c0c5052886fe645cdbde9ebd1,artemis-protocols/artemis-amqp-protocol/src/main/java/org/apache/activemq/artemis/protocol/amqp/connect/mirror/AMQPMirrorControllerTarget.java,7fb4f806495096439a2a8a9f33a5d01a535b82ab
14457c430860da4c0c5052886fe645cdbde9ebd1,artemis-protocols/artemis-amqp-protocol/src/main/java/org/apache/activemq/artemis/protocol/amqp/connect/mirror/AMQPMirrorControllerTarget.java,2fb23474ce5c2c5c94908236a7e3f22968602113
14457c430860da4c0c5052886fe645cdbde9ebd1,artemis-server/src/main/java/org/apache/activemq/artemis/core/paging/cursor/PageSubscription.java,7fb4f806495096439a2a8a9f33a5d01a535b82ab
14457c430860da4c0c5052886fe645cdbde9ebd1,artemis-server/src/main/java/org/apache/activemq/artemis/core/paging/cursor/PageSubscription.java,2fb23474ce5c2c5c94908236a7e3f22968602113
14457c430860da4c0c5052886fe645cdbde9ebd1,artemis-server/src/main/java/org/apache/activemq/artemis/core/paging/cursor/impl/PageSubscriptionImpl.java,7fb4f806495096439a2a8a9f33a5d01a535b82ab
14457c430860da4c0c5052886fe645cdbde9ebd1,artemis-server/src/main/java/org/apache/activemq/artemis/core/paging/cursor/impl/PageSubscriptionImpl.java,2fb23474ce5c2c5c94908236a7e3f22968602113
14457c430860da4c0c5052886fe645cdbde9ebd1,tests/integration-tests/src/test/java/org/apache/activemq/artemis/tests/integration/paging/PageAckScanTest.java,5dbbc98a6258d07a9a875bb0f6da10229c8a1bcc
14457c430860da4c0c5052886fe645cdbde9ebd1,tests/integration-tests/src/test/java/org/apache/activemq/artemis/tests/integration/paging/PageAckScanTest.java,7fb4f806495096439a2a8a9f33a5d01a535b82ab
